Label,Image_Path
ಲಕ್ಷ,kannada_ocr_images/word_0.png
ಮೊಬೈಲ್,kannada_ocr_images/word_1.png
ಲೈಫ್,kannada_ocr_images/word_2.png
ಲಕ್ಷ,kannada_ocr_images/word_3.png
ಮೊಬೈಲ್,kannada_ocr_images/word_4.png
ಮೊಬೈಲ್,kannada_ocr_images/word_5.png
ತಯಾರಿಕಾ,kannada_ocr_images/word_6.png
ಕಂಪನಿ,kannada_ocr_images/word_7.png
ಮೊಟರೋಲಾ,kannada_ocr_images/word_8.png
ತಯಾರಿಸಿರುವ,kannada_ocr_images/word_9.png
ಹೊಸ,kannada_ocr_images/word_10.png
ಮಾಡೆಲ್,kannada_ocr_images/word_11.png
ಫೋನ್,kannada_ocr_images/word_12.png
ಜುಲೈ,kannada_ocr_images/word_13.png
ಮೂಲಕ,kannada_ocr_images/word_14.png
ಈ,kannada_ocr_images/word_15.png
ಫೋನ್,kannada_ocr_images/word_16.png
ವಿಷಯ,kannada_ocr_images/word_17.png
ಕೇವಲ,kannada_ocr_images/word_18.png
ಈ,kannada_ocr_images/word_19.png
ಫೋನ್,kannada_ocr_images/word_20.png
ಗಳು,kannada_ocr_images/word_21.png
ಮಾರಾಟವಾಗಿವೆ,kannada_ocr_images/word_22.png
ಕಂಪನಿಯು,kannada_ocr_images/word_23.png
ಬಿಡುಗಡೆಯಾದ,kannada_ocr_images/word_24.png
ಮೊದಲ,kannada_ocr_images/word_25.png
ಸುಮಾರು,kannada_ocr_images/word_26.png
ಫೋನ್,kannada_ocr_images/word_27.png
ಗಳಂತೆ,kannada_ocr_images/word_28.png
ಮಾರಾಟವಾಗಿವೆ,kannada_ocr_images/word_29.png
ಈ,kannada_ocr_images/word_30.png
ಮಟಾಷ್,kannada_ocr_images/word_31.png
ಆಪರೇಷನ್,kannada_ocr_images/word_32.png
ಸಾವಿರ,kannada_ocr_images/word_33.png
ರೂಪಾಯಿಗೇ,kannada_ocr_images/word_34.png
ಹೇಗೆ,kannada_ocr_images/word_35.png
ಶಿವಾಜಿ,kannada_ocr_images/word_36.png
ಜಯಂತಿ,kannada_ocr_images/word_37.png
ಆಚರಣೆ,kannada_ocr_images/word_38.png
ಕೆಡಿಸಿಸಿ,kannada_ocr_images/word_39.png
ಕೋಟಿಗೂ,kannada_ocr_images/word_40.png
ಅಧಿಕ,kannada_ocr_images/word_41.png
